,ROI_0,ROI_6,ROI_14,ROI_30
221,inf,inf,inf,inf
222,-0.9998663608827049,-0.9938593049079667,-0.9817942402515617,-0.9736172246966632
223,0.0,0.0,0.0,0.0
224,0.0,0.0,0.0,0.0
225,0.0,inf,inf,inf
226,0.0,0.0,0.0,0.0
227,-0.9977511111111111,-0.9977511111111111,-0.9977511111111111,-0.9977511111111111
228,-1.0,-1.0,-1.0,-1.0
229,-0.9930703430165764,-0.9782058099458395,-0.9735133431806992,-0.9034816346627277
230,-1.0,-1.0,-1.0,-1.0
231,-0.997482105263158,-0.9962231578947368,-0.9962231578947368,-0.9962231578947368
232,-0.9598515942028986,-0.9598515942028986,-0.9598515942028986,-0.924791884057971
233,-1.0,-1.0,-1.0,-1.0
234,-1.0,-1.0,-1.0,-1.0
235,-1.0,-1.0,-1.0,-1.0
236,-0.9955291954022989,-0.9840172236958444,-0.975363890362511,-0.9586388328912467
237,-1.0,-1.0,-1.0,-1.0
238,-0.9936990350151641,-0.9936990350151641,-0.9936990350151641,-0.9936990350151641
239,-0.9926332477535301,-0.9706993324775353,-0.9201267265725289,-0.9025089345314508
240,-0.9995614456263622,-0.9995614456263622,-0.9995614456263622,-0.9995614456263622
241,-0.9889158434706141,-0.9811824710537886,-0.9811824710537886,-0.9528207533343104
242,-0.992583838614087,-0.960974948712104,-0.9092303168452246,-0.8326803966263965
243,0.0,0.0,0.0,0.0
244,-1.0,-1.0,-1.0,-1.0
245,-1.0,-1.0,-1.0,-1.0
246,0.0,0.0,0.0,0.0
247,-1.0,-1.0,-0.9985300558659218,-0.9985300558659218
248,-0.9835832310838446,-0.9835832310838446,-0.9835832310838446,-0.9835832310838446
249,-1.0,-1.0,-1.0,-0.9934589285714286
250,-0.9998889789029536,-0.9904640675105485,-0.979905552742616,-0.9578932995780591
251,-1.0,-1.0,-1.0,-1.0
252,-1.0,-1.0,-1.0,-1.0
253,-1.0,-1.0,-1.0,-1.0
254,-0.9982077064220184,-0.8979415290519878,-0.7517413251783893,-0.6704888888888889
255,-0.9950848101265822,-0.974762194092827,-0.9696604219409283,-0.9578296202531645
256,-0.9778962457337884,-0.6246498293515361,-0.39697201365187806,-0.17788395904436982
257,inf,inf,inf,inf
258,0.0,0.0,0.0,0.0
259,-0.9911669268104447,-0.8644141565969266,-0.597969099309454,-0.2086184574610045
260,-1.0,-1.0,-1.0,-1.0
261,-1.0,3.5671080139372817,3.5671080139372817,3.5671080139372817
262,-0.9258724428399518,-0.7109778841430163,-0.4468910252076602,-0.26646637551436136
263,-0.9862634026404404,-0.9280302528194986,-0.848868459030413,-0.7281948438362978
264,0.0,inf,inf,inf
265,-1.0,-1.0,-1.0,-1.0
266,-0.9916705112320073,-0.9415572848512539,-0.9057467105998268,-0.89959437145702
267,-1.0,-1.0,-1.0,-1.0
268,-0.8566193987521271,-0.7942569483834374,-0.7942569483834374,-0.7942569483834374
269,-0.6543349626961665,-0.36623617185490054,-0.36623617185490054,-0.22634422433753498
